Date,Start Time,Field,Home Team,Away Team
04/02/22,2:30PM,T3,Team_4,Team_2
04/02/22,4:30PM,T3,Team_10,Team_1
04/02/22,2:30PM,T5,Team_11,Team_8
04/02/22,4:30PM,T5,Team_5,Team_3
04/02/22,2:30PM,T6,Team_9,Team_12
04/02/22,4:30PM,T6,Team_7,Team_6
04/09/22,2:30PM,T3,Team_11,Team_2
04/09/22,4:30PM,T3,Team_3,Team_7
04/09/22,2:30PM,T5,Team_1,Team_4
04/09/22,4:30PM,T5,Team_8,Team_12
04/09/22,2:30PM,T6,Team_9,Team_10
04/09/22,4:30PM,T6,Team_5,Team_6
04/23/22,2:30PM,T3,Team_12,Team_5
04/23/22,4:30PM,T3,Team_7,Team_9
04/23/22,2:30PM,T5,Team_8,Team_6
04/23/22,2:30PM,T5,Team_11,Team_1
04/23/22,4:30PM,T6,Team_3,Team_2
04/23/22,4:30PM,T6,Team_10,Team_4
04/30/22,2:30PM,T3,Team_6,Team_9
04/30/22,2:30PM,T3,Team_8,Team_5
04/30/22,2:30PM,T5,Team_10,Team_3
04/30/22,4:30PM,T5,Team_1,Team_2
04/30/22,4:30PM,T6,Team_7,Team_11
04/30/22,4:30PM,T6,Team_12,Team_4
05/07/22,2:30PM,T3,Team_3,Team_11
05/07/22,2:30PM,T3,Team_6,Team_4
05/07/22,4:30PM,T5,Team_9,Team_1
05/07/22,4:30PM,T5,Team_12,Team_7
05/07/22,2:30PM,T6,Team_8,Team_2
05/07/22,4:30PM,T6,Team_5,Team_10
05/14/22,4:30PM,T3,Team_2,Team_12
05/14/22,4:30PM,T3,Team_8,Team_10
05/14/22,2:30PM,T5,Team_7,Team_4
05/14/22,4:30PM,T5,Team_11,Team_6
05/14/22,2:30PM,T6,Team_1,Team_3
05/14/22,2:30PM,T6,Team_9,Team_5
05/21/22,2:30PM,T3,Team_3,Team_9
05/21/22,4:30PM,T3,Team_1,Team_6
05/21/22,2:30PM,T5,Team_5,Team_4
05/21/22,4:30PM,T5,Team_2,Team_10
05/21/22,2:30PM,T6,Team_11,Team_12
05/21/22,4:30PM,T6,Team_7,Team_8
06/04/22,2:30PM,T3,Team_7,Team_2
06/04/22,4:30PM,T3,Team_1,Team_5
06/04/22,2:30PM,T5,Team_8,Team_9
06/04/22,4:30PM,T5,Team_10,Team_12
06/04/22,2:30PM,T6,Team_3,Team_6
06/04/22,4:30PM,T6,Team_4,Team_11
06/11/22,4:30PM,T3,Team_8,Team_4
06/11/22,4:30PM,T3,Team_11,Team_9
06/11/22,2:30PM,T5,Team_2,Team_5
06/11/22,4:30PM,T5,Team_3,Team_12
06/11/22,2:30PM,T6,Team_1,Team_7
06/11/22,2:30PM,T6,Team_10,Team_6
06/18/22,2:30PM,T3,Team_6,Team_12
06/18/22,2:30PM,T3,Team_10,Team_7
06/18/22,2:30PM,T5,Team_11,Team_5
06/18/22,4:30PM,T5,Team_9,Team_2
06/18/22,4:30PM,T6,Team_4,Team_3
06/18/22,4:30PM,T6,Team_8,Team_1
